Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
660737,API,Olark Chat,No,No,0,0,0,0,Page Visited on Website,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,,,02.Medium,02.Medium,15,15,No,No,Modified
660728,API,Organic Search,No,No,0,5,674,2.5,Email Opened,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,,02.Medium,02.Medium,15,15,No,No,Email Opened
660727,Landing Page Submission,Direct Traffic,No,No,1,2,1532,2,Email Opened,India,Business Administration,,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Mumbai,02.Medium,01.High,14,20,No,Yes,Email Opened
660719,Landing Page Submission,Direct Traffic,No,No,0,1,305,1,Unreachable,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,Mumbai,02.Medium,01.High,13,17,No,No,Modified
660681,Landing Page Submission,Google,No,No,1,2,1428,1,Converted to Lead,India,Others,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,Mumbai,02.Medium,01.High,15,18,No,No,Modified
660680,API,Olark Chat,No,No,0,0,0,0,Olark Chat Conversation,India,Others,,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,,01.High,02.Medium,17,15,No,No,Modified
660673,Landing Page Submission,Google,No,No,1,2,1640,2,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,14,20,No,No,Modified
660664,API,Olark Chat,No,No,0,0,0,0,Olark Chat Conversation,India,Others,,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,,02.Medium,02.Medium,15,15,No,No,Modified
660624,Landing Page Submission,Direct Traffic,No,No,0,2,71,2,Email Opened,India,IT Projects Management,,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,Thane & Outskirts,02.Medium,02.Medium,14,14,No,Yes,Email Opened
660616,API,Google,No,No,0,4,58,4,Email Opened,India,Finance Management,Word Of Mouth,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,Mumbai,02.Medium,02.Medium,13,16,No,No,Email Opened
660608,Landing Page Submission,Organic Search,No,No,1,8,1351,8,Email Opened,India,Travel and Tourism,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,Other Metro Cities,02.Medium,02.Medium,15,14,No,Yes,Email Opened
660570,Landing Page Submission,Direct Traffic,No,No,1,8,1343,2.67,Page Visited on Website,India,Human Resource Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,Not Sure,No,No,,Thane & Outskirts,02.Medium,01.High,14,17,No,Yes,Page Visited on Website
660562,API,Organic Search,No,No,1,11,1538,11,Email Opened,India,Marketing Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,,01.High,02.Medium,16,16,No,No,Modified
660558,Landing Page Submission,Organic Search,No,No,0,5,170,5,Email Opened,India,Business Administration,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,Thane & Outskirts,02.Medium,01.High,14,17,No,Yes,Email Opened
660553,Landing Page Submission,Direct Traffic,Yes,No,0,1,481,1,Email Bounced,Russia,Business Administration,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,,01.High,01.High,16,17,No,No,Email Bounced
660547,API,Organic Search,No,No,1,6,1012,6,Email Opened,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,,02.Medium,02.Medium,14,15,No,No,Email Opened
660540,API,Olark Chat,No,No,0,0,0,0,Olark Chat Conversation,India,Others,,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,,01.High,02.Medium,17,15,No,No,Modified
660534,API,Referral Sites,No,No,0,6,973,6,Email Link Clicked,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Might be,No,No,,,02.Medium,02.Medium,13,13,No,No,Modified
660522,Landing Page Submission,Google,No,No,1,6,1688,3,Page Visited on Website,India,Marketing Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,Mumbai,02.Medium,01.High,15,18,No,No,Page Visited on Website
660509,API,Organic Search,No,No,0,3,98,3,Page Visited on Website,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Worst,No,No,,,02.Medium,02.Medium,14,15,No,No,Modified
660479,Landing Page Submission,Google,No,No,0,1,233,1,Unreachable,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,,Mumbai,02.Medium,01.High,13,17,No,No,Modified
660478,API,Google,No,No,0,4,377,1.33,Page Visited on Website,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,In confusion whether part time or DLP,Worst,No,No,Potential Lead,,02.Medium,02.Medium,15,16,No,No,Modified
660471,Landing Page Submission,Google,No,No,1,1,1013,1,Converted to Lead,India,"Banking, Investment And Insurance",Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15,20,No,No,Modified
660461,Landing Page Submission,Google,No,No,0,4,771,4,Email Link Clicked,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,,Mumbai,02.Medium,01.High,14,18,No,No,Email Link Clicked
660458,API,Google,No,No,1,6,1137,1.5,Email Opened,India,Marketing Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,14,18,No,Yes,Email Opened
660447,Landing Page Submission,Google,No,No,1,3,1068,3,Form Submitted on Website,India,Travel and Tourism,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Not Sure,No,No,,Mumbai,02.Medium,02.Medium,14,16,No,No,Modified
660432,Landing Page Submission,Organic Search,No,No,1,4,1000,2,Email Opened,India,Finance Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities,03.Low,01.High,11,18,No,Yes,Email Opened
660424,Landing Page Submission,Google,No,No,1,6,1315,6,Email Opened,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15,19,No,No,Email Opened
660423,Landing Page Submission,Direct Traffic,No,No,0,5,182,5,Email Opened,India,Others,,Student,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,,Mumbai,02.Medium,01.High,13,18,No,No,Email Opened
660410,API,Google,No,No,1,3,78,3,Unreachable,India,International Business,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,01.High,01.High,16,18,No,No,Unreachable
660402,Landing Page Submission,Direct Traffic,No,No,1,7,1174,3.5,Email Opened,India,Human Resource Management,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,,Mumbai,02.Medium,01.High,15,18,No,Yes,Email Opened
660374,API,Google,No,No,0,3,88,1.5,Email Opened,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,,,02.Medium,02.Medium,13,15,No,No,Modified
660361,API,Referral Sites,No,No,0,4,223,2,Page Visited on Website,India,Others,,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,,,02.Medium,02.Medium,15,13,No,No,Modified
660339,API,Organic Search,No,No,0,3,74,1.5,Email Opened,India,Others,,Unemployed,,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,,,03.Low,02.Medium,12,15,No,No,Modified
