Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
660737,API,Olark Chat,0,0,0,0.0,0,0.0,Page Visited on Website,India,Others,Missing,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,2,0,0,Missing,Missing,2,2,15.0,15.0,0,0,Modified
660728,API,Organic Search,0,0,0,5.0,674,2.5,Email Opened,India,Others,Missing,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,3,0,0,Missing,Missing,2,2,15.0,15.0,0,0,Email Opened
660727,Landing Page Submission,Direct Traffic,0,0,1,2.0,1532,2.0,Email Opened,India,Business Administration,Missing,Student,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,4,0,0,Potential Lead,Mumbai,2,3,14.0,20.0,0,1,Email Opened
660719,Landing Page Submission,Direct Traffic,0,0,0,1.0,305,1.0,Unreachable,India,Media and Advertising,Word Of Mouth,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,3,0,0,Missing,Mumbai,2,3,13.0,17.0,0,0,Modified
660681,Landing Page Submission,Google,0,0,1,2.0,1428,1.0,Converted to Lead,India,Others,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,4,0,0,Missing,Mumbai,2,3,15.0,18.0,0,0,Modified
660680,API,Olark Chat,0,0,0,0.0,0,0.0,Olark Chat Conversation,India,Others,Missing,Unemployed,Missing,0,0,0,0,0,0,0,0,Will revert after reading the email,3,0,0,Missing,Missing,3,2,17.0,15.0,0,0,Modified
660673,Landing Page Submission,Google,0,0,1,2.0,1640,2.0,Email Opened,India,Supply Chain Management,Online Search,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,2,0,0,Potential Lead,Mumbai,2,3,14.0,20.0,0,0,Modified
660664,API,Olark Chat,0,0,0,0.0,0,0.0,Olark Chat Conversation,India,Others,Missing,Unemployed,Missing,0,0,0,0,0,0,0,0,Will revert after reading the email,3,0,0,Missing,Missing,2,2,15.0,15.0,0,0,Modified
660624,Landing Page Submission,Direct Traffic,0,0,0,2.0,71,2.0,Email Opened,India,IT Projects Management,Missing,Unemployed,Missing,0,0,0,0,0,0,0,0,Will revert after reading the email,3,0,0,Missing,Thane & Outskirts,2,2,14.0,14.0,0,1,Email Opened
660616,API,Google,0,0,0,4.0,58,4.0,Email Opened,India,Finance Management,Word Of Mouth,Unemployed,Missing,0,0,0,0,0,0,0,0,Will revert after reading the email,3,0,0,Missing,Mumbai,2,2,13.0,16.0,0,0,Email Opened
660608,Landing Page Submission,Organic Search,0,0,1,8.0,1351,8.0,Email Opened,India,Travel and Tourism,Missing,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,4,0,0,Missing,Other Metro Cities,2,2,15.0,14.0,0,1,Email Opened
660570,Landing Page Submission,Direct Traffic,0,0,1,8.0,1343,2.67,Page Visited on Website,India,Human Resource Management,Missing,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Lost to EINS,3,0,0,Missing,Thane & Outskirts,2,3,14.0,17.0,0,1,Page Visited on Website
660562,API,Organic Search,0,0,1,11.0,1538,11.0,Email Opened,India,Marketing Management,Missing,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,4,0,0,Potential Lead,Missing,3,2,16.0,16.0,0,0,Modified
660558,Landing Page Submission,Organic Search,0,0,0,5.0,170,5.0,Email Opened,India,Business Administration,Missing,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,3,0,0,Missing,Thane & Outskirts,2,3,14.0,17.0,0,1,Email Opened
660553,Landing Page Submission,Direct Traffic,1,0,0,1.0,481,1.0,Email Bounced,Russia,Business Administration,Missing,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,3,0,0,Missing,Missing,3,3,16.0,17.0,0,0,Email Bounced
660547,API,Organic Search,0,0,1,6.0,1012,6.0,Email Opened,India,Others,Missing,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,4,0,0,Missing,Missing,2,2,14.0,15.0,0,0,Email Opened
660540,API,Olark Chat,0,0,0,0.0,0,0.0,Olark Chat Conversation,India,Others,Missing,Unemployed,Missing,0,0,0,0,0,0,0,0,Will revert after reading the email,3,0,0,Missing,Missing,3,2,17.0,15.0,0,0,Modified
660534,API,Referral Sites,0,0,0,6.0,973,6.0,Email Link Clicked,India,Others,Missing,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,4,0,0,Missing,Missing,2,2,13.0,13.0,0,0,Modified
660522,Landing Page Submission,Google,0,0,1,6.0,1688,3.0,Page Visited on Website,India,Marketing Management,Multiple Sources,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,3,0,0,Missing,Mumbai,2,3,15.0,18.0,0,0,Page Visited on Website
660509,API,Organic Search,0,0,0,3.0,98,3.0,Page Visited on Website,India,Others,Missing,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,1,0,0,Missing,Missing,2,2,14.0,15.0,0,0,Modified
660479,Landing Page Submission,Google,0,0,0,1.0,233,1.0,Unreachable,India,Media and Advertising,Online Search,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,3,0,0,Missing,Mumbai,2,3,13.0,17.0,0,0,Modified
660478,API,Google,0,0,0,4.0,377,1.33,Page Visited on Website,India,Others,Missing,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,In confusion whether part time or DLP,1,0,0,Potential Lead,Missing,2,2,15.0,16.0,0,0,Modified
660471,Landing Page Submission,Google,0,0,1,1.0,1013,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Advertisements,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,2,0,0,Potential Lead,Mumbai,2,3,15.0,20.0,0,0,Modified
660461,Landing Page Submission,Google,0,0,0,4.0,771,4.0,Email Link Clicked,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,3,0,0,Missing,Mumbai,2,3,14.0,18.0,0,0,Email Link Clicked
660458,API,Google,0,0,1,6.0,1137,1.5,Email Opened,India,Marketing Management,Missing,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,5,0,0,Potential Lead,Mumbai,2,3,14.0,18.0,0,1,Email Opened
660447,Landing Page Submission,Google,0,0,1,3.0,1068,3.0,Form Submitted on Website,India,Travel and Tourism,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,3,0,0,Missing,Mumbai,2,2,14.0,16.0,0,0,Modified
660432,Landing Page Submission,Organic Search,0,0,1,4.0,1000,2.0,Email Opened,India,Finance Management,Missing,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,2,0,0,Potential Lead,Other Cities,1,3,11.0,18.0,0,1,Email Opened
